localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Alameda das Flores, 1191, Fortaleza - CE",Médio,Acidente de trânsito sem vítima,Casal
"Praça das Flores, 2448, Goiânia - GO",Baixo,Agressão física,"Família (Homem, Mulher, Criança)"
"Rua Brasil, 1891, Fortaleza - CE",Alto,Roubo (sem arma),Criança
"Alameda da República, 507, São Paulo - SP",Baixo,Maus tratos a animais,Vítima não identificada
"Rua Tiradentes, 1600, Fortaleza - CE",Baixo,Desaparecimento,N/A (Ex: Incêndio)
"Rua Tiradentes, 1022, Goiânia - GO",Médio,Incêndio,Suspeito(s) em fuga
"Alameda Brasil, 2009, Brasília - DF",Médio,Acidente de trânsito com vítima,Homem
"Travessa Barão do Rio Branco, 1709, Porto Alegre - RS",Médio,Incêndio,Criança
"Rua Primeiro de Maio, 404, Curitiba - PR",Baixo,Assalto a mão armada,Grupo de homens
"Avenida São José, 241, Belo Horizonte - MG",Baixo,Incêndio,"Família (Homem, Mulher, Criança)"
"Alameda da República, 2246, Porto Alegre - RS",Alto,Acidente de trânsito com vítima,Grupo de homens
"Estrada Marechal Deodoro, 1727, Curitiba - PR",Alto,Assalto a mão armada,Múltiplas pessoas
"Alameda Marechal Deodoro, 1465, Porto Alegre - RS",Alto,Briga doméstica,Suspeito(s) em fuga
"Rua Dom Pedro II, 2184, Brasília - DF",Médio,Perturbação do sossego,Idoso
"Avenida Dom Pedro II, 1866, Salvador - BA",Baixo,Briga doméstica,Mulher
"Rua São José, 899, Porto Alegre - RS",Alto,Desaparecimento,Idoso
"Praça Primeiro de Maio, 497, Florianópolis - SC",Alto,Perturbação do sossego,Idoso
"Rua da República, 1305, Goiânia - GO",Médio,Furto,Suspeito(s) em fuga
"Alameda Santos Dumont, 451, Fortaleza - CE",Médio,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Praça da República, 1709, Belo Horizonte - MG",Baixo,Atividade suspeita,Criança
"Avenida Duque de Caxias, 95, Porto Alegre - RS",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Alameda São José, 569, Fortaleza - CE",Baixo,Agressão física,Múltiplas pessoas
"Travessa Sete de Setembro, 1257, Rio de Janeiro - RJ",Médio,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Alameda Dom Pedro II, 2314, São Paulo - SP",Médio,Acidente de trânsito sem vítima,Criança
"Travessa São José, 191, Rio de Janeiro - RJ",Médio,Perturbação do sossego,Idoso
"Estrada das Flores, 226, São Paulo - SP",Médio,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida das Flores, 423, São Paulo - SP",Baixo,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Rua São José, 609, Rio de Janeiro - RJ",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Estrada Tiradentes, 2456, São Paulo - SP",Alto,Incêndio,Criança
"Praça Brasil, 476, Manaus - AM",Médio,Furto,Homem
"Travessa Primeiro de Maio, 870, Salvador - BA",Baixo,Maus tratos a animais,Grupo de homens
"Avenida da Paz, 420, Goiânia - GO",Baixo,Incêndio,Múltiplas pessoas
"Praça XV de Novembro, 1389, Curitiba - PR",Médio,Acidente de trânsito com vítima,Casal
"Travessa Marechal Deodoro, 1357, Recife - PE",Médio,Roubo (sem arma),Casal
"Estrada Primeiro de Maio, 853, São Paulo - SP",Baixo,Roubo (sem arma),Casal
"Travessa Marechal Deodoro, 1526, Curitiba - PR",Baixo,Furto,"Família (Homem, Mulher, Criança)"
"Rua Brasil, 1583, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,Mulher
"Travessa Sete de Setembro, 819, Salvador - BA",Médio,Agressão física,Casal
"Alameda Primeiro de Maio, 1778, Brasília - DF",Baixo,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Estrada Barão do Rio Branco, 720, Porto Alegre - RS",Médio,Maus tratos a animais,Homem
"Rua São José, 1024, Brasília - DF",Baixo,Acidente de trânsito sem vítima,Criança
"Travessa do Sol, 123, Porto Alegre - RS",Médio,Assalto a mão armada,Vítima não identificada
"Travessa Santa Rita, 579, Brasília - DF",Médio,Assalto a mão armada,Grupo de homens
"Alameda Dom Pedro II, 1243, São Paulo - SP",Médio,Furto,Homem
"Avenida da República, 2337, Belo Horizonte - MG",Médio,Maus tratos a animais,Casal
"Praça XV de Novembro, 2424, Goiânia - GO",Médio,Agressão física,Suspeito(s) em fuga
"Avenida Primeiro de Maio, 2043, Manaus - AM",Alto,Maus tratos a animais,N/A (Ex: Incêndio)
"Avenida da Paz, 1287, Brasília - DF",Baixo,Furto,"Família (Homem, Mulher, Criança)"
"Alameda São José, 1372, Manaus - AM",Alto,Agressão física,Homem
"Alameda da Paz, 1723, São Paulo - SP",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Rua Brasil, 292, São Paulo - SP",Médio,Maus tratos a animais,N/A (Ex: Incêndio)
"Praça da República, 2445, Curitiba - PR",Médio,Assalto a mão armada,Criança
"Avenida Barão do Rio Branco, 487, Manaus - AM",Médio,Incêndio,"Família (Homem, Mulher, Criança)"
"Travessa Santos Dumont, 749, Florianópolis - SC",Alto,Atividade suspeita,Vítima não identificada
"Praça Primeiro de Maio, 1977, Curitiba - PR",Baixo,Agressão física,N/A (Ex: Incêndio)
"Estrada Sete de Setembro, 316, Florianópolis - SC",Médio,Maus tratos a animais,Grupo de homens
"Praça Barão do Rio Branco, 169, Curitiba - PR",Alto,Maus tratos a animais,Casal
"Avenida das Flores, 1227, Florianópolis - SC",Baixo,Assalto a mão armada,Casal
"Travessa Santa Rita, 397, Brasília - DF",Alto,Roubo (sem arma),Homem
"Avenida das Flores, 914, Florianópolis - SC",Baixo,Roubo (sem arma),Idoso
"Estrada Sete de Setembro, 2345, Fortaleza - CE",Baixo,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Rua Brasil, 1985, Fortaleza - CE",Baixo,Furto,Mulher
"Avenida Brasil, 700, Florianópolis - SC",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Praça Marechal Deodoro, 1391, Rio de Janeiro - RJ",Baixo,Maus tratos a animais,Idoso
"Praça Barão do Rio Branco, 1323, Manaus - AM",Médio,Assalto a mão armada,Criança
"Praça Barão do Rio Branco, 2162, São Paulo - SP",Médio,Desaparecimento,N/A (Ex: Incêndio)
"Alameda São José, 1507, Brasília - DF",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Avenida XV de Novembro, 1223, Porto Alegre - RS",Baixo,Briga doméstica,Casal
"Alameda Santa Rita, 907, Goiânia - GO",Alto,Maus tratos a animais,N/A (Ex: Incêndio)
"Rua Dom Pedro II, 514, Fortaleza - CE",Médio,Furto,Criança
"Rua Marechal Deodoro, 2182, Salvador - BA",Baixo,Alarme disparado,Múltiplas pessoas
"Avenida São José, 2147, Salvador - BA",Médio,Vandalismo,Grupo de homens
"Avenida Tiradentes, 75, Curitiba - PR",Baixo,Alarme disparado,Suspeito(s) em fuga
"Avenida Tiradentes, 2173, Manaus - AM",Médio,Alarme disparado,Idoso
"Alameda Barão do Rio Branco, 2082, Salvador - BA",Baixo,Assalto a mão armada,Vítima não identificada
"Praça das Flores, 1691, São Paulo - SP",Alto,Atividade suspeita,Vítima não identificada
"Travessa Sete de Setembro, 2023, Belo Horizonte - MG",Baixo,Assalto a mão armada,Idoso
"Praça São José, 1069, Florianópolis - SC",Alto,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida do Sol, 281, Belo Horizonte - MG",Alto,Briga doméstica,Casal
"Rua XV de Novembro, 1966, Salvador - BA",Alto,Atividade suspeita,Múltiplas pessoas
"Alameda do Sol, 1380, Salvador - BA",Médio,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Praça São José, 2350, Fortaleza - CE",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Travessa Barão do Rio Branco, 1582, Fortaleza - CE",Baixo,Assalto a mão armada,Idoso
"Travessa do Sol, 970, Recife - PE",Alto,Desaparecimento,N/A (Ex: Incêndio)
"Travessa Sete de Setembro, 1692, Curitiba - PR",Médio,Roubo (sem arma),Vítima não identificada
"Alameda da Paz, 2294, Fortaleza - CE",Baixo,Atividade suspeita,Casal
"Praça Dom Pedro II, 1286, Brasília - DF",Alto,Desaparecimento,Homem
"Estrada do Sol, 549, Manaus - AM",Médio,Acidente de trânsito sem vítima,Criança
"Rua Tiradentes, 2322, Florianópolis - SC",Médio,Furto,Casal
"Praça Santos Dumont, 1153, Recife - PE",Baixo,Agressão física,Grupo de homens
"Estrada Brasil, 2047, Curitiba - PR",Alto,Atividade suspeita,Grupo de homens
"Rua Santos Dumont, 2049, Rio de Janeiro - RJ",Baixo,Assalto a mão armada,Mulher
"Alameda Santa Rita, 198, São Paulo - SP",Médio,Assalto a mão armada,Suspeito(s) em fuga
"Alameda São José, 208, Goiânia - GO",Médio,Maus tratos a animais,Suspeito(s) em fuga
"Rua Santa Rita, 2081, Manaus - AM",Baixo,Assalto a mão armada,Criança
"Travessa Santa Rita, 2438, Brasília - DF",Alto,Atividade suspeita,Vítima não identificada
"Rua Barão do Rio Branco, 274, Goiânia - GO",Alto,Maus tratos a animais,Grupo de homens
"Alameda Marechal Deodoro, 1740, São Paulo - SP",Médio,Vandalismo,Vítima não identificada
"Alameda Barão do Rio Branco, 1803, São Paulo - SP",Médio,Maus tratos a animais,Criança
"Rua Sete de Setembro, 2479, Florianópolis - SC",Alto,Vandalismo,Mulher
"Rua Sete de Setembro, 355, Belo Horizonte - MG",Alto,Briga doméstica,Casal
"Praça Santa Rita, 1879, Florianópolis - SC",Baixo,Vandalismo,Múltiplas pessoas
"Alameda da Paz, 1858, Manaus - AM",Médio,Furto,Criança
"Rua Santos Dumont, 66, Salvador - BA",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Estrada Marechal Deodoro, 27, Brasília - DF",Baixo,Assalto a mão armada,Idoso
"Alameda Marechal Deodoro, 595, Rio de Janeiro - RJ",Médio,Acidente de trânsito sem vítima,Grupo de homens
"Alameda Santa Rita, 2242, Goiânia - GO",Médio,Incêndio,Casal
"Estrada Primeiro de Maio, 1424, São Paulo - SP",Baixo,Assalto a mão armada,Idoso
"Estrada Primeiro de Maio, 1401, Porto Alegre - RS",Baixo,Briga doméstica,Criança
"Rua Santa Rita, 518, Goiânia - GO",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Rua da República, 2101, Florianópolis - SC",Médio,Alarme disparado,Idoso
"Rua das Flores, 1916, Curitiba - PR",Alto,Alarme disparado,Múltiplas pessoas
"Rua São José, 2179, Salvador - BA",Baixo,Briga doméstica,Homem
"Estrada São José, 933, São Paulo - SP",Baixo,Agressão física,Vítima não identificada
"Alameda da República, 493, Curitiba - PR",Baixo,Maus tratos a animais,Idoso
"Travessa do Sol, 435, Fortaleza - CE",Alto,Perturbação do sossego,Mulher
"Avenida XV de Novembro, 176, Recife - PE",Baixo,Furto,Idoso
"Rua Primeiro de Maio, 866, Belo Horizonte - MG",Médio,Agressão física,Homem
"Praça Brasil, 892, Fortaleza - CE",Alto,Desaparecimento,Criança
"Travessa Primeiro de Maio, 1099, Salvador - BA",Médio,Incêndio,Criança
"Alameda Marechal Deodoro, 518, Florianópolis - SC",Baixo,Maus tratos a animais,N/A (Ex: Incêndio)
"Rua Dom Pedro II, 844, Recife - PE",Médio,Vandalismo,Homem
"Praça Brasil, 502, Belo Horizonte - MG",Médio,Desaparecimento,Homem
"Praça Sete de Setembro, 1095, São Paulo - SP",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Avenida Brasil, 55, Porto Alegre - RS",Baixo,Furto,Casal
"Praça Barão do Rio Branco, 962, Florianópolis - SC",Médio,Furto,Criança
"Rua da República, 36, Curitiba - PR",Alto,Assalto a mão armada,Grupo de homens
"Travessa da República, 2432, Fortaleza - CE",Alto,Vandalismo,Criança
"Travessa Tiradentes, 1493, Porto Alegre - RS",Médio,Acidente de trânsito com vítima,Grupo de homens
"Estrada Brasil, 768, Goiânia - GO",Médio,Acidente de trânsito com vítima,Idoso
"Rua Tiradentes, 2000, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Avenida Sete de Setembro, 1969, Recife - PE",Médio,Maus tratos a animais,Homem
"Rua São José, 494, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,Idoso
"Rua Santa Rita, 666, Brasília - DF",Baixo,Assalto a mão armada,Criança
"Rua Duque de Caxias, 2498, Goiânia - GO",Baixo,Maus tratos a animais,Idoso
"Alameda da República, 628, Goiânia - GO",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Alameda Dom Pedro II, 382, Florianópolis - SC",Baixo,Assalto a mão armada,Grupo de homens
"Praça XV de Novembro, 2217, Florianópolis - SC",Médio,Furto,Casal
"Avenida Barão do Rio Branco, 1706, Manaus - AM",Médio,Alarme disparado,N/A (Ex: Incêndio)
"Rua Santa Rita, 380, Goiânia - GO",Baixo,Roubo (sem arma),Grupo de homens
"Travessa da Paz, 1727, Goiânia - GO",Alto,Vandalismo,Múltiplas pessoas
"Praça Brasil, 1468, Porto Alegre - RS",Médio,Vandalismo,Idoso
"Estrada do Sol, 1505, Salvador - BA",Médio,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Avenida São José, 1919, Manaus - AM",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Avenida Marechal Deodoro, 651, Florianópolis - SC",Médio,Acidente de trânsito com vítima,Homem
"Estrada da Paz, 1679, Manaus - AM",Médio,Atividade suspeita,Idoso
"Praça Duque de Caxias, 1805, São Paulo - SP",Baixo,Perturbação do sossego,Idoso
"Avenida Brasil, 194, Rio de Janeiro - RJ",Alto,Maus tratos a animais,Homem
"Rua Santos Dumont, 891, Rio de Janeiro - RJ",Baixo,Desaparecimento,Idoso
"Praça Tiradentes, 66, Belo Horizonte - MG",Alto,Maus tratos a animais,Mulher
"Estrada da República, 628, Recife - PE",Alto,Maus tratos a animais,Casal
"Avenida São José, 1866, Porto Alegre - RS",Baixo,Furto,Grupo de homens
"Travessa da República, 368, Manaus - AM",Alto,Acidente de trânsito sem vítima,Idoso
"Travessa Barão do Rio Branco, 1016, Goiânia - GO",Médio,Briga doméstica,Vítima não identificada
"Praça Dom Pedro II, 1903, Recife - PE",Médio,Alarme disparado,Múltiplas pessoas
"Travessa Marechal Deodoro, 849, Recife - PE",Baixo,Furto,Vítima não identificada
"Praça Brasil, 1010, Manaus - AM",Alto,Maus tratos a animais,Grupo de homens
"Avenida do Sol, 2046, Porto Alegre - RS",Médio,Agressão física,Idoso
"Avenida Primeiro de Maio, 1683, Goiânia - GO",Médio,Perturbação do sossego,Casal
"Praça Sete de Setembro, 838, Brasília - DF",Médio,Agressão física,Casal
"Estrada Marechal Deodoro, 1350, Rio de Janeiro - RJ",Alto,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Avenida XV de Novembro, 365, São Paulo - SP",Alto,Alarme disparado,Idoso
"Travessa Barão do Rio Branco, 764, Brasília - DF",Alto,Perturbação do sossego,Criança
"Travessa São José, 1566, Curitiba - PR",Alto,Incêndio,Suspeito(s) em fuga
"Travessa Brasil, 2236, Recife - PE",Alto,Agressão física,Mulher
"Avenida Santos Dumont, 2174, Florianópolis - SC",Baixo,Incêndio,"Família (Homem, Mulher, Criança)"
"Estrada Santa Rita, 840, Salvador - BA",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Rua das Flores, 530, Rio de Janeiro - RJ",Médio,Desaparecimento,Casal
"Rua Marechal Deodoro, 1992, Curitiba - PR",Médio,Furto,N/A (Ex: Incêndio)
"Estrada Santa Rita, 1916, Goiânia - GO",Baixo,Assalto a mão armada,Múltiplas pessoas
"Rua Primeiro de Maio, 624, Salvador - BA",Médio,Assalto a mão armada,Casal
"Praça XV de Novembro, 2259, Curitiba - PR",Baixo,Alarme disparado,Grupo de homens
"Estrada Primeiro de Maio, 575, Goiânia - GO",Médio,Agressão física,"Família (Homem, Mulher, Criança)"
"Estrada da Paz, 602, São Paulo - SP",Médio,Furto,Vítima não identificada
"Avenida Primeiro de Maio, 320, Manaus - AM",Baixo,Assalto a mão armada,Grupo de homens
"Rua da Paz, 1161, São Paulo - SP",Médio,Alarme disparado,N/A (Ex: Incêndio)
"Estrada Barão do Rio Branco, 1026, Curitiba - PR",Médio,Atividade suspeita,Grupo de homens
"Alameda Marechal Deodoro, 1303, Belo Horizonte - MG",Médio,Acidente de trânsito sem vítima,Casal
"Travessa do Sol, 74, Curitiba - PR",Alto,Alarme disparado,Idoso
"Estrada da Paz, 2090, Goiânia - GO",Alto,Roubo (sem arma),Idoso
"Avenida São José, 2262, Recife - PE",Médio,Agressão física,Vítima não identificada
"Estrada da Paz, 1793, Belo Horizonte - MG",Baixo,Incêndio,N/A (Ex: Incêndio)
"Travessa São José, 695, Recife - PE",Médio,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Praça Barão do Rio Branco, 1281, Fortaleza - CE",Médio,Perturbação do sossego,Suspeito(s) em fuga
"Praça da República, 1139, Porto Alegre - RS",Alto,Roubo (sem arma),Homem
"Alameda Barão do Rio Branco, 43, Goiânia - GO",Baixo,Briga doméstica,Grupo de homens
"Travessa da Paz, 637, São Paulo - SP",Alto,Desaparecimento,Mulher
"Praça Marechal Deodoro, 775, Curitiba - PR",Médio,Alarme disparado,Casal
"Alameda das Flores, 1932, São Paulo - SP",Baixo,Atividade suspeita,Vítima não identificada
"Travessa São José, 163, São Paulo - SP",Médio,Assalto a mão armada,N/A (Ex: Incêndio)
"Avenida XV de Novembro, 544, São Paulo - SP",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Travessa Brasil, 63, Brasília - DF",Médio,Agressão física,Suspeito(s) em fuga
"Alameda Santa Rita, 770, Goiânia - GO",Baixo,Atividade suspeita,Idoso
"Praça do Sol, 224, Recife - PE",Alto,Desaparecimento,Casal
"Travessa Tiradentes, 1780, Florianópolis - SC",Médio,Alarme disparado,Grupo de homens
"Estrada São José, 170, Curitiba - PR",Baixo,Maus tratos a animais,Grupo de homens
"Praça Duque de Caxias, 103, Curitiba - PR",Alto,Acidente de trânsito sem vítima,Casal
"Praça Marechal Deodoro, 787, Fortaleza - CE",Baixo,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Rua da Paz, 1939, Manaus - AM",Baixo,Acidente de trânsito com vítima,Múltiplas pessoas
"Alameda Primeiro de Maio, 1636, Porto Alegre - RS",Médio,Alarme disparado,Múltiplas pessoas
"Alameda das Flores, 1475, Rio de Janeiro - RJ",Baixo,Vandalismo,Idoso
"Travessa São José, 1490, Manaus - AM",Alto,Incêndio,Grupo de homens
"Avenida Brasil, 446, Curitiba - PR",Alto,Perturbação do sossego,Múltiplas pessoas
"Avenida São José, 1656, Goiânia - GO",Baixo,Alarme disparado,Múltiplas pessoas
"Estrada Santa Rita, 1087, Rio de Janeiro - RJ",Médio,Atividade suspeita,Criança
"Estrada da Paz, 2219, Salvador - BA",Médio,Alarme disparado,Casal
"Rua Primeiro de Maio, 2159, Brasília - DF",Baixo,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Avenida Primeiro de Maio, 1272, Rio de Janeiro - RJ",Médio,Furto,Grupo de homens
"Travessa da Paz, 941, Belo Horizonte - MG",Alto,Agressão física,Casal
"Rua Barão do Rio Branco, 1647, Recife - PE",Baixo,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Praça das Flores, 1113, Rio de Janeiro - RJ",Baixo,Incêndio,Idoso
"Praça Marechal Deodoro, 2210, Brasília - DF",Médio,Assalto a mão armada,Homem
"Rua Primeiro de Maio, 2234, Rio de Janeiro - RJ",Baixo,Alarme disparado,Grupo de homens
"Estrada Barão do Rio Branco, 1997, Curitiba - PR",Baixo,Maus tratos a animais,Casal
"Praça Sete de Setembro, 1895, Recife - PE",Médio,Desaparecimento,Múltiplas pessoas
"Rua Marechal Deodoro, 1477, Salvador - BA",Baixo,Assalto a mão armada,Grupo de homens
"Alameda Tiradentes, 1222, Fortaleza - CE",Baixo,Furto,Múltiplas pessoas
"Travessa Dom Pedro II, 1005, Florianópolis - SC",Baixo,Perturbação do sossego,Homem
"Avenida Santa Rita, 891, Salvador - BA",Alto,Briga doméstica,Mulher
"Rua Barão do Rio Branco, 1031, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Alameda Sete de Setembro, 605, Brasília - DF",Alto,Incêndio,Homem
"Travessa Marechal Deodoro, 1237, Goiânia - GO",Médio,Maus tratos a animais,Vítima não identificada
"Alameda Barão do Rio Branco, 1716, Rio de Janeiro - RJ",Baixo,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Travessa Primeiro de Maio, 740, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada das Flores, 178, São Paulo - SP",Alto,Briga doméstica,Casal
"Alameda da Paz, 2125, Goiânia - GO",Médio,Agressão física,Criança
"Estrada Tiradentes, 1117, Porto Alegre - RS",Médio,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida Primeiro de Maio, 1956, Florianópolis - SC",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Travessa Sete de Setembro, 2405, Manaus - AM",Baixo,Desaparecimento,Múltiplas pessoas
"Avenida Marechal Deodoro, 1711, Porto Alegre - RS",Médio,Roubo (sem arma),Homem
"Travessa Brasil, 536, São Paulo - SP",Baixo,Vandalismo,"Família (Homem, Mulher, Criança)"
"Estrada Dom Pedro II, 1291, Florianópolis - SC",Médio,Maus tratos a animais,Casal
"Rua Tiradentes, 1213, Belo Horizonte - MG",Alto,Perturbação do sossego,Grupo de homens
"Travessa São José, 2159, Manaus - AM",Médio,Acidente de trânsito com vítima,Casal
"Rua das Flores, 1280, Belo Horizonte - MG",Alto,Maus tratos a animais,Grupo de homens
"Alameda da Paz, 712, Manaus - AM",Baixo,Perturbação do sossego,Mulher
"Travessa São José, 1306, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Estrada Santos Dumont, 1529, Salvador - BA",Baixo,Acidente de trânsito com vítima,Homem
"Alameda Sete de Setembro, 2087, Recife - PE",Médio,Maus tratos a animais,Múltiplas pessoas
"Estrada Duque de Caxias, 2376, Rio de Janeiro - RJ",Alto,Perturbação do sossego,Suspeito(s) em fuga
"Avenida XV de Novembro, 1459, Fortaleza - CE",Médio,Assalto a mão armada,Idoso
"Avenida da República, 892, Goiânia - GO",Médio,Agressão física,Casal
"Rua Tiradentes, 520, Curitiba - PR",Baixo,Roubo (sem arma),Suspeito(s) em fuga
"Estrada das Flores, 2221, Brasília - DF",Baixo,Roubo (sem arma),Criança
"Avenida Brasil, 1957, Salvador - BA",Médio,Briga doméstica,Múltiplas pessoas
"Estrada Dom Pedro II, 1710, São Paulo - SP",Médio,Assalto a mão armada,Homem
"Travessa XV de Novembro, 1804, Goiânia - GO",Baixo,Agressão física,Múltiplas pessoas
"Avenida Primeiro de Maio, 1426, Salvador - BA",Baixo,Acidente de trânsito sem vítima,Múltiplas pessoas
"Praça São José, 1755, Manaus - AM",Médio,Alarme disparado,Grupo de homens
"Estrada Santos Dumont, 628, Florianópolis - SC",Médio,Maus tratos a animais,Mulher
"Travessa São José, 782, Curitiba - PR",Baixo,Desaparecimento,Mulher
"Rua da Paz, 1902, Manaus - AM",Médio,Assalto a mão armada,Múltiplas pessoas
"Avenida da Paz, 967, Rio de Janeiro - RJ",Médio,Agressão física,Mulher
"Alameda do Sol, 1324, Fortaleza - CE",Médio,Desaparecimento,N/A (Ex: Incêndio)
